order_index,trained_at_utc,family,label,checkpoint_rel,metrics_rel,device,strategy,policy_target,examples,replay_buffer_examples,total_seconds,policy_loss,value_loss,gate_score_rate,gate_points,gate_games,gate_draw_rate,gate_summary_rel,promotion_score_rate,promotion_points,promotion_games,promotion_delta,promotion_summary_rel,elo_estimate,elo_games
21,2026-03-09T06:00:04+00:00,alphazero_cycle_20_fast,alphazero_cycle_20_fast/c004,artifacts/alphazero_cycle_20_fast/cycle_004/bootstrap_model.pt,artifacts/alphazero_cycle_20_fast/cycle_004/metrics.json,cuda,alphazero_self_play,visit_distribution,330,,394.75,3.814910259002294,0.0032294903050149935,0.75,9.0,12,0.5,artifacts\alphazero_cycle_20_fast\cycle_004\tournament\summary.json,0.75,4.5,6,3.0,artifacts\alphazero_cycle_20_fast\cycle_004\promotion_match\summary.json,1361.7894420715302,36
22,2026-03-09T06:28:13.996900+00:00,alphazero_cycle_20_fast,alphazero_cycle_20_fast/c005,artifacts/alphazero_cycle_20_fast/cycle_005/bootstrap_model.pt,artifacts/alphazero_cycle_20_fast/cycle_005/metrics.json,cuda,alphazero_self_play,visit_distribution,330,,367.777,3.8077451632573056,0.0033418712666435824,0.75,9.0,12,0.5,artifacts\alphazero_cycle_20_fast\cycle_005\tournament\summary.json,0.75,4.5,6,3.0,artifacts\alphazero_cycle_20_fast\cycle_005\promotion_match\summary.json,1356.2766571479583,36
23,2026-03-09T06:56:49+00:00,alphazero_cycle_20_fast,alphazero_cycle_20_fast/c006,artifacts/alphazero_cycle_20_fast/cycle_006/bootstrap_model.pt,artifacts/alphazero_cycle_20_fast/cycle_006/metrics.json,cuda,alphazero_self_play,visit_distribution,330,,408.281,3.680073035069001,0.003298234139807531,0.7083333333333334,8.5,12,0.4166666666666667,artifacts\alphazero_cycle_20_fast\cycle_006\tournament\summary.json,0.75,4.5,6,3.0,artifacts\alphazero_cycle_20_fast\cycle_006\promotion_match\summary.json,1333.5783049969148,36
24,2026-03-09T07:22:53+00:00,alphazero_cycle_20_fast,alphazero_cycle_20_fast/c007,artifacts/alphazero_cycle_20_fast/cycle_007/bootstrap_model.pt,artifacts/alphazero_cycle_20_fast/cycle_007/metrics.json,cuda,alphazero_self_play,visit_distribution,330,,366.534,3.5848860364211235,0.003369868781335658,0.7083333333333334,8.5,12,0.4166666666666667,artifacts\alphazero_cycle_20_fast\cycle_007\tournament\summary.json,0.75,4.5,6,3.0,artifacts\alphazero_cycle_20_fast\cycle_007\promotion_match\summary.json,1333.9756930672067,36
25,2026-03-09T07:48:29+00:00,alphazero_cycle_20_fast,alphazero_cycle_20_fast/c008,artifacts/alphazero_cycle_20_fast/cycle_008/bootstrap_model.pt,artifacts/alphazero_cycle_20_fast/cycle_008/metrics.json,cuda,alphazero_self_play,visit_distribution,330,,419.586,3.5459561409094396,0.0032179703453388917,0.75,9.0,12,0.5,artifacts\alphazero_cycle_20_fast\cycle_008\tournament\summary.json,0.75,4.5,6,3.0,artifacts\alphazero_cycle_20_fast\cycle_008\promotion_match\summary.json,1357.8662094291255,36
26,2026-03-09T08:14:18+00:00,alphazero_cycle_20_fast,alphazero_cycle_20_fast/c009,artifacts/alphazero_cycle_20_fast/cycle_009/bootstrap_model.pt,artifacts/alphazero_cycle_20_fast/cycle_009/metrics.json,cuda,alphazero_self_play,visit_distribution,330,,371.684,3.4987375063773913,0.0032269045916272707,0.75,9.0,12,0.5,artifacts\alphazero_cycle_20_fast\cycle_009\tournament\summary.json,0.75,4.5,6,3.0,artifacts\alphazero_cycle_20_fast\cycle_009\promotion_match\summary.json,1366.1607108447415,36
27,2026-03-09T08:42:24+00:00,alphazero_cycle_20_fast,alphazero_cycle_20_fast/c010,artifacts/alphazero_cycle_20_fast/cycle_010/bootstrap_model.pt,artifacts/alphazero_cycle_20_fast/cycle_010/metrics.json,cuda,alphazero_self_play,visit_distribution,330,,384.674,3.427183371323806,0.0032702135530866937,0.75,9.0,12,0.5,artifacts\alphazero_cycle_20_fast\cycle_010\tournament\summary.json,0.75,4.5,6,3.0,artifacts\alphazero_cycle_20_fast\cycle_010\promotion_match\summary.json,1367.1536987296695,36
28,2026-03-09T09:09:32+00:00,alphazero_cycle_20_fast,alphazero_cycle_20_fast/c011,artifacts/alphazero_cycle_20_fast/cycle_011/bootstrap_model.pt,artifacts/alphazero_cycle_20_fast/cycle_011/metrics.json,cuda,alphazero_self_play,visit_distribution,330,,382.4,3.422813763985267,0.0032334510104262268,0.75,9.0,12,0.5,artifacts\alphazero_cycle_20_fast\cycle_011\tournament\summary.json,0.75,4.5,6,3.0,artifacts\alphazero_cycle_20_fast\cycle_011\promotion_match\summary.json,1361.8381609688395,36
29,2026-03-09T09:38:22+00:00,alphazero_cycle_20_fast,alphazero_cycle_20_fast/c012,artifacts/alphazero_cycle_20_fast/cycle_012/bootstrap_model.pt,artifacts/alphazero_cycle_20_fast/cycle_012/metrics.json,cuda,alphazero_self_play,visit_distribution,330,,401.784,3.4126481948754726,0.003299892918571109,0.7083333333333334,8.5,12,0.4166666666666667,artifacts\alphazero_cycle_20_fast\cycle_012\tournament\summary.json,0.75,4.5,6,3.0,artifacts\alphazero_cycle_20_fast\cycle_012\promotion_match\summary.json,1344.8985598014199,36
30,2026-03-09T10:05:14+00:00,alphazero_cycle_20_fast,alphazero_cycle_20_fast/c013,artifacts/alphazero_cycle_20_fast/cycle_013/bootstrap_model.pt,artifacts/alphazero_cycle_20_fast/cycle_013/metrics.json,cuda,alphazero_self_play,visit_distribution,330,,368.94,3.322780307970549,0.0032943418188288455,0.75,9.0,12,0.5,artifacts\alphazero_cycle_20_fast\cycle_013\tournament\summary.json,0.75,4.5,6,3.0,artifacts\alphazero_cycle_20_fast\cycle_013\promotion_match\summary.json,1362.374953659839,36
31,2026-03-09T10:32:49+00:00,alphazero_cycle_20_fast,alphazero_cycle_20_fast/c014,artifacts/alphazero_cycle_20_fast/cycle_014/bootstrap_model.pt,artifacts/alphazero_cycle_20_fast/cycle_014/metrics.json,cuda,alphazero_self_play,visit_distribution,330,,369.064,3.369561182825189,0.003374062493381452,0.75,9.0,12,0.5,artifacts\alphazero_cycle_20_fast\cycle_014\tournament\summary.json,0.75,4.5,6,3.0,artifacts\alphazero_cycle_20_fast\cycle_014\promotion_match\summary.json,1368.7640768026695,36
32,2026-03-09T10:59:55+00:00,alphazero_cycle_20_fast,alphazero_cycle_20_fast/c015,artifacts/alphazero_cycle_20_fast/cycle_015/bootstrap_model.pt,artifacts/alphazero_cycle_20_fast/cycle_015/metrics.json,cuda,alphazero_self_play,visit_distribution,330,,377.735,3.278517384278147,0.0033179332823764477,0.75,9.0,12,0.5,artifacts\alphazero_cycle_20_fast\cycle_015\tournament\summary.json,0.75,4.5,6,3.0,artifacts\alphazero_cycle_20_fast\cycle_015\promotion_match\summary.json,1370.4550523727403,36
33,2026-03-09T11:26:36+00:00,alphazero_cycle_20_fast,alphazero_cycle_20_fast/c016,artifacts/alphazero_cycle_20_fast/cycle_016/bootstrap_model.pt,artifacts/alphazero_cycle_20_fast/cycle_016/metrics.json,cuda,alphazero_self_play,visit_distribution,330,,336.244,3.2230359560404067,0.0032213413846525676,0.75,9.0,12,0.5,artifacts\alphazero_cycle_20_fast\cycle_016\tournament\summary.json,0.75,4.5,6,3.0,artifacts\alphazero_cycle_20_fast\cycle_016\promotion_match\summary.json,1369.138855940124,36
34,2026-03-09T11:55:53+00:00,alphazero_cycle_20_fast,alphazero_cycle_20_fast/c017,artifacts/alphazero_cycle_20_fast/cycle_017/bootstrap_model.pt,artifacts/alphazero_cycle_20_fast/cycle_017/metrics.json,cuda,alphazero_self_play,visit_distribution,330,,407.889,3.3625131448109946,0.0032504329859269396,0.75,9.0,12,0.5,artifacts\alphazero_cycle_20_fast\cycle_017\tournament\summary.json,0.75,4.5,6,3.0,artifacts\alphazero_cycle_20_fast\cycle_017\promotion_match\summary.json,1363.4992910722017,36
35,2026-03-09T12:22:16+00:00,alphazero_cycle_20_fast,alphazero_cycle_20_fast/c018,artifacts/alphazero_cycle_20_fast/cycle_018/bootstrap_model.pt,artifacts/alphazero_cycle_20_fast/cycle_018/metrics.json,cuda,alphazero_self_play,visit_distribution,330,,346.693,3.288248123266758,0.0031854378827114115,0.75,9.0,12,0.5,artifacts\alphazero_cycle_20_fast\cycle_018\tournament\summary.json,0.75,4.5,6,3.0,artifacts\alphazero_cycle_20_fast\cycle_018\promotion_match\summary.json,1347.896792901052,36
36,2026-03-09T12:49:03+00:00,alphazero_cycle_20_fast,alphazero_cycle_20_fast/c019,artifacts/alphazero_cycle_20_fast/cycle_019/bootstrap_model.pt,artifacts/alphazero_cycle_20_fast/cycle_019/metrics.json,cuda,alphazero_self_play,visit_distribution,330,,359.423,3.2748553508367295,0.0033039003462934677,0.7083333333333334,8.5,12,0.4166666666666667,artifacts\alphazero_cycle_20_fast\cycle_019\tournament\summary.json,0.75,4.5,6,3.0,artifacts\alphazero_cycle_20_fast\cycle_019\promotion_match\summary.json,1306.7288632555264,60
37,2026-03-09T13:15:19+00:00,alphazero_cycle_20_fast,alphazero_cycle_20_fast/c020,artifacts/alphazero_cycle_20_fast/cycle_020/bootstrap_model.pt,artifacts/alphazero_cycle_20_fast/cycle_020/metrics.json,cuda,alphazero_self_play,visit_distribution,330,,397.6,3.3236621282039542,0.0032232881584290086,0.7083333333333334,8.5,12,0.4166666666666667,artifacts\alphazero_cycle_20_fast\cycle_020\tournament\summary.json,0.75,4.5,6,3.0,artifacts\alphazero_cycle_20_fast\cycle_020\promotion_match\summary.json,1356.902424450106,78
